VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1E15H,Thurston,Yelm,WA,98597,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,2,477498283,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
1N4AZ0CPXD,Snohomish,Lake Stevens,WA,98258,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,44,243742670,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052506
5YJXCDE27H,Yakima,Yakima,WA,98901,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,15,193775536,POINT (-120.50721 46.60448),PACIFICORP,53077001701
1N4AZ0CP8D,Kitsap,Port Orchard,WA,98366,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,26,163198437,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092500
1G1FX6S00H,Snohomish,Arlington,WA,98223,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,39,260006043,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061052701
5YJ3E1EB0K,Kitsap,Bainbridge Island,WA,98110,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,478792107,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091002
5YJ3E1EB8L,Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,102950508,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
1C4JJXR66P,Whitman,Pullman,WA,99163,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,9,220449078,POINT (-117.18147 46.73015),AVISTA CORP,53075000601
KL8CK6S04F,Whitman,Palouse,WA,99161,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,9,3274211,POINT (-117.0768 46.9101),AVISTA CORP,53075000700
5YJSA1E25F,Snohomish,Edmonds,WA,98026,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,21,4157289,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
5YJSA1DPXD,Snohomish,Mill Creek,WA,98012,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44,178261310,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052004
1N4AZ1CP4L,Snohomish,Monroe,WA,98272,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,39,121869226,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
5YJYGDEE9L,Snohomish,Marysville,WA,98270,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38,122977942,POINT (-122.17672999999996 48.05542000000003),PUGET SOUND ENERGY INC,53061052903
1N4BZ0CPXH,Snohomish,Bothell,WA,98021,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,102295259,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
1N4AZ1CPXK,Snohomish,Everett,WA,98208,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,38,478423396,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041805
5UXTA6C00P,Snohomish,Edmonds,WA,98026,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,32,216932677,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050700
5YJ3E1EB6K,Snohomish,Edmonds,WA,98026,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,171638421,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
1G1FX6S04H,Snohomish,Edmonds,WA,98020,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,32,104156608,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050800
5YJ3E1EA1J,Thurston,Yelm,WA,98597,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,474276092,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
3C3CFFGE3F,Snohomish,Mukilteo,WA,98275,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,21,476545576,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061041301
5YJSA1E28H,Snohomish,Monroe,WA,98272,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,39,327646336,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052211
1FADP5CU9G,Snohomish,Monroe,WA,98272,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,39,120557692,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
5YJSA1E21L,Snohomish,Brier,WA,98036,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,1,110207541,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
5YJXCBE26J,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,292888228,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EB3L,Snohomish,Lynnwood,WA,98037,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,32,110247861,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802
1G1RA6E4XD,Skagit,Mount Vernon,WA,98274,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,10,129709919,POINT (-122.32267 48.41626),PUGET SOUND ENERGY INC,53057952600
JTDKARFP5H,Snohomish,Everett,WA,98203,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,38,347883539,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041202
YV4BR0DL7N,Skagit,Mount Vernon,WA,98274,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,10,234969962,POINT (-122.32267 48.41626),PUGET SOUND ENERGY INC,53057952600
5YJ3E1EA6J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,171547750,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
1G1RB6S58J,Stevens,Kettle Falls,WA,99141,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,7,127169318,POINT (-118.06211 48.61053),AVISTA CORP,53065950102
1N4AZ0CP7D,Douglas,Orondo,WA,98843,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,12,210717769,POINT (-120.22795 47.62352),PUD NO 1 OF DOUGLAS COUNTY,53017950101
1G1RC6S51G,Spokane,Spokane,WA,99223,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,3,298541008,POINT (-117.36043 47.63396),MODERN ELECTRIC WATER COMPANY,53063004601
1G1RE6E47C,Yakima,Selah,WA,98942,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,15,477578370,POINT (-120.53113 46.65404),PACIFICORP,53077003100
YV4BR0CM9N,Yakima,Yakima,WA,98908,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,14,196640419,POINT (-120.56916 46.58514),PACIFICORP,53077000401
5YJ3E1ECXL,Skagit,Mount Vernon,WA,98273,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,40,4647072,POINT (-122.33897499999995 48.41333000000003),PUGET SOUND ENERGY INC,53057952304
5YJ3E1EB2L,Yakima,Yakima,WA,98901,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,15,103663885,POINT (-120.50721 46.60448),PACIFICORP,53077001602
KNDCE3LG6K,Thurston,Olympia,WA,98516,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,4760108,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,53067012221
5YJXCBE41J,Yakima,Yakima,WA,98903,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,14,209125255,POINT (-120.47794 46.55282),PACIFICORP,53077002803
5YJ3E1EB9J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,157470960,POINT (-120.56916 46.58514),PACIFICORP,53077000402
KNDCC3LG0L,Island,Oak Harbor,WA,98277,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,10,153980179,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970300
5YJ3E1EC4N,Whitman,Pullman,WA,99163,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,190046503,POINT (-117.18147 46.73015),AVISTA CORP,53075000300
1G1FW6S06H,Island,Clinton,WA,98236,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,132227280,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972000
